		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10001
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    2    2    4    2    1    6    4    3  8.743564 0.364388 SUCCESS  76
100101000    4    1    2    2    0    3    2    2  4.851122 0.773363 SUCCESS  77
100110000    1    5    2    2    3    1    2    5  7.707565 0.462545 SUCCESS  78
100111000    3    3    4    2    1    0    2    2  4.914011 0.766726 SUCCESS  79
101000000    4    3    2    1    0    2    2    1  5.635568 0.687978 SUCCESS  80
101000100    1    4    5    3    1    2    6    4 12.258676 0.140030 SUCCESS  81
101001000    1    2    3    4    2    3    3    5  5.291339 0.726032 SUCCESS  82
101001100    1    5    3    1    3    0    2    2  7.456013 0.488323 SUCCESS  83
101010000    3    1    1    2    2    0    4    1  6.420015 0.600293 SUCCESS  84
101010100    3    5    3    3    3    2    1    1  5.165563 0.739743 SUCCESS  85
101011000    1    1    3    2    4    2    3    2  3.282230 0.915418 SUCCESS  86
101011100    3    3    2    4    1    2    2    3  2.560672 0.958842 SUCCESS  87
101100000    4    0    1    2    4    2    1    1  7.330237 0.501457 SUCCESS  88
101100100    1    2    2    1    2    2    0    3  4.662458 0.792968 SUCCESS  89
101101000    4    2    2    7    2    2    4    4 12.321564 0.137423 SUCCESS  90
101101100    2    0    0    0    1    3    1    1 10.279357 0.245964 SUCCESS  91
101110000    4    2    4    1    0    1    6    6 17.216905 0.027928 SUCCESS  92
101110100    8    2    3    5    2    7    1    1 26.852021 0.000750 FAILURE  93
101111000    3    5    3    1    3    3    3   11 35.514027 0.000022 FAILURE  94
101111100    3    4    1    2    1    3    3    3  3.408006 0.906211 SUCCESS  95
110000000    5    1    5    3    4    1    1    1 10.249568 0.247945 SUCCESS  96
110000010    1    3    5    2    1    2    2    4  5.950009 0.652832 SUCCESS  97
110000100    0    2    2    1    6    1    3    2  9.998015 0.265165 SUCCESS  98
110001000    1    2    2    3    4    0    3    2  4.914011 0.766726 SUCCESS  99
110001010    0    4    0    0    3    1    4    1 11.441131 0.177934 SUCCESS 100
110010000    1    3    1    1    2    2    3    2  3.093566 0.928349 SUCCESS 101
110010010    0    2    3    4    3    6    2    3  9.528010 0.299727 SUCCESS 102
110010100    3    3    2    3    0    4    2    4  5.165563 0.739743 SUCCESS 103
110011000    2    5    2    1    8    1    2    2 18.001351 0.021216 SUCCESS 104
110011010    4    3    4    2    4    4    3    2  4.632669 0.796018 SUCCESS 105
110100000    3    4    2    7    1    1    2    3 12.070012 0.148107 SUCCESS 106
110100010    1    4    2    2    3    2    5    3  5.228451 0.732903 SUCCESS 107
110100100    0    0    2    2    4    4    4    4  9.339345 0.314483 SUCCESS 108
110101000    4    1    1    2    1    2    6    1 10.060903 0.260777 SUCCESS 109
110101010    2    6    3    0    4    2    0    1 12.602906 0.126262 SUCCESS 110
110101100    0    0    2    2    5    1    2    0 11.378243 0.181174 SUCCESS 111
