		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  257  244  263  239  248  250  236  267  5.029458 0.754423 SUCCESS  76
100101000  256  283  249  244  226  250  255  247  9.175040 0.327746 SUCCESS  77
100110000  221  232  241  247  212  256  225  229 10.453455 0.234630 SUCCESS  78
100111000  250  241  256  243  246  232  253  230  2.607141 0.956547 SUCCESS  79
101000000  241  228  254  265  234  228  230  244  5.783585 0.671459 SUCCESS  80
101000100  259  285  250  223  247  265  251  251 12.334537 0.136890 SUCCESS  81
101001000  244  255  229  282  269  252  253  251 10.966093 0.203628 SUCCESS  82
101001100  218  245  270  261  241  248  217  254 10.573141 0.227078 SUCCESS  83
101010000  230  239  239  240  233  257  228  246  3.483073 0.900499 SUCCESS  84
101010100  252  232  241  250  233  261  257  237  3.721386 0.881346 SUCCESS  85
101011000  246  231  260  216  227  234  276  274 14.926320 0.060594 SUCCESS  86
101011100  225  256  233  262  231  261  276  234 10.700241 0.219269 SUCCESS  87
101100000  265  244  248  229  250  245  246  245  3.046696 0.931393 SUCCESS  88
101100100  225  243  248  262  237  239  264  248  5.035813 0.753742 SUCCESS  89
101101000  236  236  274  236  252  263  237  243  6.612913 0.578912 SUCCESS  90
101101100  269  255  258  225  250  237  233  249  6.474162 0.594275 SUCCESS  91
101110000  226  254  238  256  268  275  238  245  9.177158 0.327572 SUCCESS  92
101110100  255  253  253  279  266  225  225  225 12.997576 0.111933 SUCCESS  93
101111000  242  205  216  259  240  252  267  235 13.697686 0.089993 SUCCESS  94
101111100  257  225  225  241  244  224  246  256  6.171240 0.628057 SUCCESS  95
110000000  263  253  240  252  267  243  236  240  4.751956 0.783729 SUCCESS  96
110000010  221  215  260  234  229  261  211  247 14.220915 0.076186 SUCCESS  97
110000100  224  231  268  243  240  227  249  232  6.904185 0.547005 SUCCESS  98
110001000  265  233  209  227  236  241  270  230 12.842938 0.117369 SUCCESS  99
110001010  227  239  212  243  249  255  257  235  7.388224 0.495383 SUCCESS 100
110010000  233  223  265  232  243  269  240  239  7.694324 0.463885 SUCCESS 101
110010010  238  254  213  240  263  216  240  236  9.960942 0.267778 SUCCESS 102
110010100  273  269  261  254  221  244  258  252 11.117554 0.195127 SUCCESS 103
110011000  256  238  264  227  227  226  245  245  6.313169 0.612197 SUCCESS 104
110011010  238  242  241  227  245  236  254  237  2.373065 0.967387 SUCCESS 105
110100000  255  247  237  249  230  245  225  244  3.250056 0.917699 SUCCESS 106
110100010  231  260  266  237  236  255  260  276 10.192900 0.251747 SUCCESS 107
